id,label,references,numberofsubjects,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n102,Mexico--emigration And Immigration--drama.,4,4,4,10.0,8.0,0.24094556495337238,0.25928485705713294,1623.6071428571431,5,6.194895310134076E-4,0,0.6666666666666666,4,0.006363692925081642
n114,Foreign Worker Certification--united States--cases.,3,3,3,9.0,1.0,1.0,1.0,0.0,3,6.915629492141307E-4,2,1.0,3,0.0015872356186872661
n115,"Foreign Workers--legal Status, Laws, Etc.--united States--cases.",3,3,3,9.0,1.0,1.0,1.0,0.0,3,6.915629492141307E-4,2,1.0,3,0.0015872356186872661
n116,Emigration And Immigration Law--united States--cases.,5,5,3,9.0,1.0,1.0,1.0,0.0,3,6.915629492141307E-4,2,1.0,3,0.0015872356186872661
n117,Illegal Aliens--employment--united States--cases.,3,3,3,9.0,1.0,1.0,1.0,0.0,3,6.915629492141307E-4,2,1.0,3,0.0015872356186872661
n120,Illegal Aliens--employment--israel.,3,3,4,8.0,2.0,0.75,0.8333333333333334,0.0,98,5.323784642552214E-4,3,1.0,6,0.0028897454680664554
n130,Feature Films.,19,19,16,45.0,8.0,0.24278846153846154,0.2675806866400913,7890.331143276017,5,0.002244128203477392,0,0.2,24,0.01910941131169237
n132,Illegal Aliens--california--los Angeles--drama.,6,6,9,25.0,8.0,0.2418371789290379,0.26285521409283646,21.330952380952386,5,0.0011238254736873983,0,0.5555555555555556,20,0.0136852007366419
n136,Los Angeles (calif.)--drama.,3,3,1,2.0,8.0,0.24058033780857513,0.25740966953838107,0.0,5,2.213634627935228E-4,0,0.0,0,0.0039009962607659703
n137,Man-woman Relationships--drama.,11,11,4,12.0,8.0,0.24131190269331015,0.26010993956538375,3128.5648477251148,5,7.867543276915064E-4,0,0.16666666666666666,1,0.005710198143194927
n141,Video Recordings For The Hearing Impaired.,11,11,7,18.0,7.0,0.31295774647887326,0.3455231237409429,6588.084348688725,5,8.950111299291703E-4,0,0.38095238095238093,8,0.049304831537314374
n143,Immigrants--united States--biography.,11,11,10,33.0,7.0,0.26471289015963784,0.2856457074278848,1659.0000000000005,59,9.632193180021122E-4,0,0.6444444444444445,29,0.029091836246024
n144,Illegal Aliens--united States--biography.,22,22,19,71.0,7.0,0.26528175740210125,0.28969611246838883,11580.0,59,0.0017329866965185333,0,0.30994152046783624,53,0.036042643338548994
n146,Illegal Aliens--government Policy--united States.,276,276,149,859.0,6.0,0.39271827500883705,0.4726972697269701,71780.4669819459,22,0.013346477924492301,0,0.050426265191365865,556,0.7058741278520738
n147,Biometric Identification--government Policy--united States.,2,2,2,4.0,7.0,0.28212290502793297,0.3077000557198563,0.0,22,2.8435999645800636E-4,0,1.0,1,0.028104116057608562
n148,Ports Of Entry--security Measures--united States.,4,4,3,7.0,7.0,0.28421591199795343,0.3116754532596102,5.5764152514152485,22,3.687813554628495E-4,0,0.6666666666666666,2,0.0428608312425601
n149,Border Security--united States.,44,44,23,137.0,6.0,0.32928275044457617,0.3745424542454223,1169.8974976059285,22,0.0018039507414442414,0,0.3952569169960474,100,0.2532910504653441
n151,Alien Detention Centers--united States.,22,22,16,61.0,7.0,0.32428488032691183,0.3661801894475137,1365.8736125722216,0,0.0014003608478592971,0,0.4083333333333333,49,0.17165065072620014
n153,Detention Of Persons--government Policy--united States.,12,12,14,47.0,7.0,0.28992693110647183,0.3226715528695707,556.3757976993578,22,0.0011711437693696872,0,0.42857142857142855,39,0.10187180168909267
n154,U.s. Immigration And Customs Enforcement.,14,14,13,45.0,6.0,0.32714958775029446,0.36824182418241586,604.7093628670317,0,0.0010799087479379528,0,0.6410256410256411,50,0.18356962518409195
n156,"Foreign Workers, Mexican--united States.",66,66,18,153.0,6.0,0.33183990442054956,0.3754425442544229,477.33669074433527,0,0.0014697612376952998,0,0.45098039215686275,69,0.22391720025061332
n158,Emigration And Immigration Law--alabama.,2,2,1,2.0,1.0,1.0,1.0,0.0,4,6.915629492141309E-4,4,0.0,0,4.243364407010856E-4
n159,Illegal Aliens--government Policy--alabama.,2,2,1,2.0,1.0,1.0,1.0,0.0,4,6.915629492141309E-4,4,0.0,0,4.243364407010856E-4
n166,Refugees--australia.,16,16,6,51.0,8.0,0.19949721673550008,0.21359135913591065,0.0,49,7.313660024235451E-4,0,1.0,15,0.0070544865327158875
n167,Refugees--indonesia.,2,2,3,6.0,8.0,0.1992110453648915,0.2114911491149086,0.0,49,4.3931614757337527E-4,0,1.0,3,0.003386680762958805
n168,Human Smuggling.,27,27,16,62.0,7.0,0.29091385179366325,0.3180575200377168,8868.792264558278,2,0.0017147941021755473,0,0.275,33,0.04910977526285525
n169,Illegal Aliens--australia.,34,34,16,81.0,7.0,0.2483791638721216,0.2725451116540216,10802.999999999929,49,0.0020614829794058927,0,0.23333333333333334,28,0.016289871360611045
n170,Illegal Aliens--government Policy--australia.,16,16,17,62.0,7.0,0.24843470483005367,0.2729951566585221,11849.99999999981,49,0.0019878254336105055,0,0.2647058823529412,36,0.01731243484265933
n171,Shipwrecks--indian Ocean.,2,2,3,6.0,8.0,0.1992110453648915,0.2114911491149086,0.0,49,4.3931614757337527E-4,0,1.0,3,0.003386680762958805
n172,Refugees--government Policy--australia.,18,18,14,70.0,8.0,0.1997842114727567,0.21719171917191404,3348.0,49,0.0018400454657507067,0,0.26373626373626374,24,0.011288829671422355
n174,Great Britain--emigration And Immigration.,8,8,2,7.0,8.0,0.23573095692764692,0.2496163902104483,7727.999999999999,51,3.8510108418700475E-4,0,0.0,0,0.002938363897651471
n175,Illegal Aliens--great Britain.,13,13,6,17.0,9.0,0.1911891240750301,0.20136656522794855,6636.999999999999,51,0.0012636771639339104,0,0.26666666666666666,4,0.0031824889361843495
n178,Haitians--united States.,2,2,1,2.0,7.0,0.3067366096079514,0.33520209163773285,0.0,0,1.8814893896410855E-4,0,0.0,0,0.037990497084496054
n180,United States--emigration And Immigration.,250,250,95,737.0,6.0,0.37008660892738177,0.4427392739273905,43380.13619454752,0,0.008290628938322699,0,0.08936170212765958,399,0.5545856040837339
n182,Detention Of Persons--australia.,9,9,7,28.0,8.0,0.1995330459770115,0.21404140414041106,6.5,49,8.611763451932322E-4,0,0.7619047619047619,16,0.007547809572652376
n184,"Asylum, Right Of--government Policy--australia.",2,2,2,4.0,8.0,0.19906826733560293,0.21059105910590775,0.0,49,3.076974410925449E-4,0,1.0,1,0.0024367914384235815
n185,"Asylum, Right Of--australia.",10,10,8,43.0,8.0,0.1995688880905335,0.21449144914491156,8.0,49,9.526333787879217E-4,0,0.7142857142857143,20,0.008281765532055967
n187,Australia--emigration And Immigration.,10,10,4,14.0,8.0,0.19942559684078262,0.21269126912690978,1.3333333333333333,49,5.278484605846871E-4,0,0.8333333333333334,5,0.005103543751116155
n188,"Refugees--legal Status, Laws, Etc.--australia.",3,3,2,4.0,8.0,0.19903260480114654,0.21044104410440767,0.0,49,3.6049027248593154E-4,0,1.0,1,0.0020374573549789654
n191,Teenage Immigrants--united States.,2,2,1,2.0,7.0,0.3067366096079514,0.33520209163773285,0.0,0,1.8814893896410855E-4,0,0.0,0,0.037990497084496054
n192,Mexico--economic Conditions--1994-,4,4,5,12.0,6.0,0.3111173340800896,0.3416441644164392,14.468115942028971,0,5.167512820169236E-4,0,0.7,7,0.08089247740801761
n193,United States--emigration And Immigration--government Policy.,272,272,125,809.0,6.0,0.39481165600568585,0.46851185118511574,59411.06753826739,0,0.010567237094803682,0,0.06929032258064516,537,0.6899676034113689
n195,Illegal Aliens--united States--juvenile Literature.,14,14,9,28.0,6.0,0.3215629522431259,0.3581908190819057,2335.59454077423,0,9.403316374063934E-4,0,0.4722222222222222,17,0.12381811059604404
n197,Emigration And Immigration Law--united States--juvenile Literature.,4,4,2,6.0,7.0,0.2434268185801928,0.25904161844755785,0.0,0,3.3485813855796355E-4,0,1.0,1,0.005189399922673728
n198,Immigrants--united States--juvenile Literature.,3,3,2,5.0,7.0,0.2434268185801928,0.25904161844755785,0.0,0,3.3485813855796355E-4,0,1.0,1,0.005189399922673728
n200,Illegal Aliens--united States--drama.,32,32,35,92.0,7.0,0.31670467502850624,0.36007457888645705,45049.086877906666,5,0.004843535599063825,0,0.08403361344537816,50,0.07231827955928828
n202,Homosexuality--drama.,3,3,1,2.0,10.0,0.16398523985239852,0.17202720272027033,0.0,5,2.686333081691523E-4,0,0.0,0,8.418045331989319E-4
n204,Retired Teachers--fiction.,2,2,5,10.0,8.0,0.2382586317821145,0.26478612146928815,0.0,6,6.319900476089861E-4,0,1.0,10,0.01454003222955452
n205,"Marginality, Social--fiction.",2,2,5,10.0,8.0,0.2382586317821145,0.26478612146928815,0.0,6,6.319900476089861E-4,0,1.0,10,0.014540032229554519
n206,Watchmen--fiction.,2,2,5,10.0,8.0,0.2382586317821145,0.26478612146928815,0.0,6,6.319900476089861E-4,0,1.0,10,0.01454003222955452
n207,England--fiction.,2,2,5,10.0,8.0,0.2382586317821145,0.26478612146928815,0.0,6,6.319900476089861E-4,0,1.0,10,0.01454003222955452
n208,Psychological Fiction.,13,13,9,31.0,8.0,0.23866809881847476,0.2671863614932905,17.833333333333332,6,0.0010513095699860697,0,0.3888888888888889,14,0.02046475859350148
n209,Illegal Aliens--fiction.,142,142,128,419.0,7.0,0.3123418611189204,0.3857678625005338,158172.56580086538,6,0.014833289839975691,0,0.03186515748031496,259,0.1644274324232036
n210,Africans--england--fiction.,2,2,5,10.0,8.0,0.2382586317821145,0.26478612146928815,0.0,6,6.319900476089861E-4,0,1.0,10,0.01454003222955452
n213,Illegal Aliens--employment.,7,7,1,2.0,8.0,0.2270126685737638,0.24065620847798924,0.0,2,2.1520098077460636E-4,0,0.0,0,0.0022998721074542344
n221,Human Trafficking Victims--services For--united States.,2,2,2,4.0,8.0,0.2385656001717844,0.2529027902790266,0.0,7,3.7564779467594864E-4,0,1.0,1,0.0033087599379168623
n222,Visas--united States.,14,14,10,32.0,7.0,0.32026520611127124,0.3584244138699561,755.0308672165971,22,8.848893118534259E-4,0,0.5555555555555556,25,0.12964900035573165
n224,"Human Trafficking Victims--legal Status, Laws, Etc.--united States.",2,2,2,4.0,8.0,0.2385656001717844,0.2529027902790266,0.0,7,3.7564779467594864E-4,0,1.0,1,0.0033087599379168623
n225,Illegal Aliens--services For--united States.,11,11,5,10.0,7.0,0.3131341600901917,0.34574814624319317,2218.0,7,6.603714992744201E-4,0,0.4,4,0.06907215325631745
n228,"Criminal Justice, Administration Of--united States.",5,5,2,6.0,7.0,0.308012198502911,0.3375273241609852,0.0,0,2.5877773204554524E-4,0,1.0,1,0.049849254769210025
n234,Illegal Aliens--united States--fiction.,32,32,11,42.0,8.0,0.2390275387263339,0.2688365265097921,7741.4,8,0.001528890739374928,0,0.2545454545454545,14,0.017923539303804106
n237,Illegal Aliens--social Conditions.,8,8,3,7.0,7.0,0.28020176544766706,0.3009108053662499,10.60238095238095,2,4.132195096905768E-4,0,0.6666666666666666,2,0.017826087468827568
n238,Illegal Aliens--economic Conditions.,2,2,2,4.0,7.0,0.2781672508763145,0.2983455488405974,0.0,2,3.0821043511434837E-4,0,1.0,1,0.015422452896614987
n239,"Asylum, Right Of.",6,6,2,5.0,7.0,0.2783066132264529,0.2986455788435977,0.0,2,2.724221606639759E-4,0,1.0,1,0.019783593918650907
n240,Immigrants.,5,5,2,7.0,7.0,0.2920609884332282,0.31771248553426634,0.0,2,2.653108051569808E-4,0,1.0,1,0.03458595069480609
n242,Illegal Aliens--europe.,42,42,27,86.0,6.0,0.3475132937128558,0.3807980798079771,49711.861833770265,51,0.0034785983792062192,0,0.07692307692307693,27,0.08144064956853446
n244,Illegal Aliens--europe--social Conditions.,6,6,5,10.0,8.0,0.20727611940298507,0.21716600231451394,0.0,51,6.422081620140466E-4,0,1.0,10,0.0037552532694886125
n248,Illegal Aliens--united States--popular Works.,3,3,2,5.0,2.0,0.625,0.7,0.0,9,5.083326063813923E-4,5,1.0,1,0.001105974544606403
n249,Emigration And Immigration Law--united States--popular Works.,7,7,5,12.0,1.0,1.0,1.0,6.0,9,0.0011091576840422369,5,0.4,4,0.0025668626673937107
n252,Habeas Corpus--united States--popular Works.,2,2,3,6.0,2.0,0.7142857142857143,0.8,0.0,9,6.745182661599212E-4,5,1.0,3,0.0016929286064647638
n253,Alien Detention Centers--united States--popular Works.,2,2,3,6.0,2.0,0.7142857142857143,0.8,0.0,9,6.745182661599212E-4,5,1.0,3,0.0016929286064647638
n254,"Illegal Aliens--united States--handbooks, Manuals, Etc.",3,3,3,7.0,2.0,0.7142857142857143,0.8,0.0,9,6.745182661599212E-4,5,1.0,3,0.0016929286064647638
n267,Illegal Aliens--drama.,32,32,8,20.0,9.0,0.19611650485436893,0.2117947509036587,4450.316666666666,5,0.0015519858985788076,0,0.03571428571428571,1,0.005914100109417308
n270,"Privacy, Right Of--united States.",3,3,1,2.0,7.0,0.3067366096079514,0.33520209163773285,0.0,0,1.8814893896410855E-4,0,0.0,0,0.037990497084496054
n271,Identification Cards--united States.,7,7,6,17.0,7.0,0.3134875846501129,0.34697826925549474,29.95276901344998,0,5.836731159386736E-4,0,0.8,12,0.0780884409947057
n277,"Mexicans--legal Status, Laws, Etc.--united States.",5,5,2,8.0,7.0,0.31260551491277433,0.3439479662251914,0.0,0,2.6476435403728323E-4,0,1.0,1,0.0622787652106321
n279,United States.--immigration Reform And Control Act Of 1986.,37,37,13,83.0,7.0,0.3235294117647059,0.3645000214307121,624.7772184150841,0,0.0011670435696342408,0,0.47435897435897434,37,0.15617970790776617
n288,Alien Detention Centers--australia.,2,2,1,2.0,8.0,0.19899695504209206,0.2099909990999072,0.0,49,2.1325087362276517E-4,0,0.0,0,0.001468923526375724
n293,Admission Of Nonimmigrants--canada.,2,2,2,4.0,8.0,0.23633269517124017,0.2507725772577243,0.0,29,3.2647010244289237E-4,0,1.0,1,0.0031667492748757597
n295,Illegal Aliens--canada.,26,26,12,38.0,7.0,0.30929844097995546,0.3428528567142405,9277.578953791302,29,0.0015358323118606063,0,0.21212121212121213,14,0.04960375163625164
n296,Canada--emigration And Immigration--government Policy.,8,8,3,10.0,7.0,0.28472578165043566,0.3101324418156089,1223.1654507257451,29,4.907408800611417E-4,0,0.0,0,0.02800896148978069
n297,Canada--emigration And Immigration.,9,9,6,19.0,8.0,0.23653395784543327,0.2525727572757261,2.0,29,8.043341076804559E-4,0,0.7333333333333333,11,0.00584351133416948
n308,United States.--department Of Homeland Security--management.,3,3,1,2.0,7.0,0.28205128205128205,0.3072500107153559,0.0,22,1.7987200826632092E-4,0,0.0,0,0.026273115643517815
n309,Alien Criminals--government Policy--united States.,12,12,9,36.0,7.0,0.2957146659568805,0.32945223093737747,41.02553368635682,22,7.673387496046367E-4,0,0.6388888888888888,23,0.10214976101552113
n316,Alien Criminals--united States.,14,14,10,35.0,6.0,0.32618907809747505,0.36584158415841345,243.74348984348987,0,9.528138721301669E-4,0,0.5555555555555556,25,0.1668632128836244
n325,Illegal Aliens--united States--statistics.,30,30,13,50.0,6.0,0.31526674233825197,0.3495949594959469,5032.295731252744,20,0.0016023065356884786,0,0.2564102564102564,20,0.07946039469590478
n326,United States--population.,4,4,1,3.0,7.0,0.3067366096079514,0.33520209163773285,0.0,0,1.8814893896410855E-4,0,0.0,0,0.037990497084496054
n330,Illegal Aliens--california.,45,45,23,84.0,6.0,0.33433644297321696,0.3803930393039278,15742.997297161739,45,0.002414970982577235,0,0.1857707509881423,47,0.18483567897979172
n338,Electronic Monitoring Of Parolees And Probationers--government Policy--canada.,2,2,5,10.0,8.0,0.23648361004682844,0.2521227122712257,0.0,29,6.662662692540411E-4,0,1.0,10,0.005338861831931005
n339,Electronic Monitoring Of Parolees And Probationers--canada.,2,2,5,10.0,8.0,0.23648361004682844,0.2521227122712257,0.0,29,6.662662692540411E-4,0,1.0,10,0.005338861831931005
n340,Alternatives To Imprisonment--canada.,2,2,5,10.0,8.0,0.23648361004682844,0.2521227122712257,0.0,29,6.662662692540411E-4,0,1.0,10,0.005338861831931005
n341,Electronic Books.,63,63,35,93.0,6.0,0.3997840949982008,0.441704170417039,194576.23756510427,29,0.003159169218895943,0,0.16470588235294117,98,0.23997165547036445
n342,Home Detention--canada.,2,2,5,10.0,8.0,0.23648361004682844,0.2521227122712257,0.0,29,6.662662692540409E-4,0,1.0,10,0.005338861831931005
n345,Illegal Aliens--political Aspects--united States.,3,3,2,4.0,7.0,0.31251758087201126,0.34412798422699187,0.0,0,2.600060956067455E-4,0,1.0,1,0.06315184077572454
n351,Emigration And Immigration--economic Aspects.,11,11,5,14.0,7.0,0.27858575727181545,0.30014572885859914,639.2757523031253,2,6.846404591253491E-4,0,0.4,4,0.019242314556099257
n354,European Union Countries--emigration And Immigration.,24,24,16,56.0,7.0,0.29921896040937246,0.32287300158587107,33099.27360711575,15,0.0018814675274073148,0,0.15833333333333333,19,0.02723004224899991
n355,Globalization--social Aspects.,4,4,3,6.0,7.0,0.27044790652385586,0.28748017658908687,0.0,59,3.435957015107178E-4,0,1.0,3,0.011860520498935578
n356,Europe--emigration And Immigration.,21,21,11,39.0,7.0,0.30716063035664914,0.3372294372294358,17949.305854543174,51,0.0013244632425993307,0,0.21818181818181817,12,0.04605743595147012
n362,Illegal Aliens--government Policy--united States--history.,3,3,4,8.0,7.0,0.26227573182247405,0.2787450173588781,0.0,59,4.847392264344534E-4,0,1.0,6,0.010440252587818912
n368,Illegal Aliens--mexico--social Conditions.,3,3,1,2.0,8.0,0.25336374002280504,0.26789571814324226,0.0,29,1.736656047129269E-4,0,0.0,0,0.006546509577056578
n370,Mexico--description And Travel.,3,3,2,4.0,7.0,0.2385656001717844,0.25296601088680154,0.0,29,3.3579954916573916E-4,0,1.0,1,0.004017038871387859
n374,Stevedores--new York (state)--new York--drama.,2,2,2,4.0,9.0,0.19484391441599438,0.20540411183975252,0.0,5,4.1453698027410133E-4,0,1.0,1,0.001562993473336502
n376,Italian Americans--new York (state)--new York--drama.,2,2,2,4.0,9.0,0.19484391441599438,0.20540411183975252,0.0,5,4.1453698027410133E-4,0,1.0,1,0.001562993473336502
n380,U.s. Border Patrol.,40,40,25,113.0,6.0,0.3307532003572492,0.3768226822682243,1708.8304611362305,22,0.0020685845337526684,0,0.33,99,0.2538411318128844
n382,Illegal Aliens--mexican-american Border Region.,48,48,40,150.0,7.0,0.34740462789243276,0.39612532681839313,12603.46947257903,22,0.003549067362628944,0,0.15897435897435896,124,0.25796691461597493
n385,Border Patrols--mexican-american Border Region.,35,35,25,118.0,6.0,0.32676470588235296,0.37217221722172006,2174.6399248365656,22,0.0021083747921070207,0,0.2833333333333333,85,0.19951801382587256
n391,"Prisoners--legal Status, Laws, Etc.--united States.",3,3,1,2.0,7.0,0.2809102402022756,0.304549740688353,0.0,0,1.8034985745529405E-4,0,0.0,0,0.024288268126136037
n392,Detention Of Persons--united States.,28,28,15,77.0,7.0,0.3224027858386535,0.3630298744160103,166.91929629750922,0,0.001240111691263038,0,0.5047619047619047,53,0.1674802375725332
n401,Young Adult Fiction.,6,6,2,6.0,8.0,0.2390789756832365,0.2662112639835395,0.0,6,3.102967154567514E-4,0,1.0,1,0.013080648555451406
n407,Drug Traffic--mexican-american Border Region.,8,8,8,23.0,7.0,0.3099888392857143,0.34262783421199017,655.0008458678536,22,7.967829262005289E-4,0,0.39285714285714285,11,0.06293201800952637
n408,Drug Control--mexican-american Border Region.,3,3,2,5.0,7.0,0.3075858250276855,0.3367022416527344,0.0,22,2.7280706507405586E-4,0,1.0,1,0.040649709373306295
n410,Militia Movements--united States.,2,2,2,4.0,7.0,0.3081830790568655,0.3377523466632354,0.0,22,2.5983362049108294E-4,0,1.0,1,0.045388164059861597
n413,Women Lawyers--fiction.,8,8,12,33.0,8.0,0.2389247311827957,0.2688365265097922,185.76904761904757,6,0.0012987498337620267,0,0.36363636363636365,24,0.024800175539784943
n414,Illegal Aliens--crimes Against--fiction.,3,3,3,7.0,8.0,0.23083316019114897,0.24448909176631808,0.0,6,3.951153029966299E-4,0,1.0,3,0.004160960801016186
n415,Texas--fiction.,11,11,11,25.0,7.0,0.2993802209646995,0.3276370494192262,4837.423376623447,6,0.001131534303738757,0,0.38181818181818183,21,0.030112037260969414
n416,Legislators--united States--fiction.,2,2,3,6.0,8.0,0.23083316019114897,0.24448909176631808,0.0,6,3.951153029966298E-4,0,1.0,3,0.004160960801016186
n417,Legal Stories.,5,5,3,8.0,8.0,0.2382586317821145,0.2641860614632875,0.0,6,3.836598008863294E-4,0,1.0,3,0.013588753346271184
n420,Guatemala--emigration And Immigration.,10,10,22,52.0,6.0,0.3225900116144019,0.3639963996399613,13025.869952658046,45,0.0018572318996180866,0,0.2987012987012987,69,0.14485716693809403
n421,Iowa--emigration And Immigration.,3,3,5,14.0,7.0,0.247604189881881,0.2672474390296161,0.0,45,5.13349504976045E-4,0,1.0,10,0.013171455421742514
n422,Illegal Aliens--iowa--postville.,7,7,8,30.0,7.0,0.2770573566084788,0.30956024173845775,1110.0,0,7.718668555034419E-4,0,0.75,21,0.0641407666614487
n423,"Postville Immigration Raid, Postville, Iowa, 2008.",10,10,15,50.0,7.0,0.30463394570880176,0.34321503578929086,2946.4707086771286,0,0.0013420674559860163,0,0.4,42,0.1211289884107092
n424,Guatemala--economic Conditions.,3,3,5,14.0,7.0,0.247604189881881,0.2672474390296161,0.0,45,5.13349504976045E-4,0,1.0,10,0.013171455421742514
n425,Postville (iowa)--economic Conditions.,3,3,5,14.0,7.0,0.247604189881881,0.2672474390296161,0.0,45,5.13349504976045E-4,0,1.0,10,0.013171455421742514
n427,Illegal Aliens--iowa.,3,3,5,10.0,7.0,0.247604189881881,0.2672474390296161,0.0,45,5.13349504976045E-4,0,1.0,10,0.013171455421742514
n429,Illegal Aliens--civil Rights--united States.,20,20,13,36.0,7.0,0.3214699074074074,0.36062963439200824,1265.298987161358,0,0.0011607620955329568,0,0.44871794871794873,35,0.150486802923406
n430,Human Rights--united States.,17,17,13,38.0,7.0,0.324948815443112,0.3642749989284617,2264.251783643723,0,0.0011780938206782134,0,0.41025641025641024,32,0.15328291716133338
