title,subject
"Protecting U.S. and guest workers : the recruitment and employment of temporary foreign labor : hearing before the Committee on Education and Labor, U.S. House of Representatives, One Hundred Tenth Congress, first session, hearing held in Washington, DC, June 7, 2007.","foreign workers--government policy--united states.|agricultural laborers, foreign--government policy--united states.|migrant agricultural laborers--united states.|foreign worker certification--united states.|illegal aliens--government policy--united states."
"Taking sides. Clashing views on political issues / selected, edited, and with introductions by George McKenna and Stanley Feingold.","right and left (political science)|united states--politics and government--1945-1989.|united states--politics and government--1989-1993.|united states--politics and government--1993-2001.|united states--politics and government--2001-2009.|campaign funds--united states.|wiretapping--united states.|national security--united states.|racial profiling in law enforcement--united states.|united states.--uniting and strengthening america by providing appropriate tools required to intercept and obstruct terrorism (usa patriot act) act of 2001.|illegal aliens--united states.|border security--united states.|war on terrorism, 2001-2009.|free trade--united states.|prisoners--legal status, laws, etc.--united states.|church and state--united states.|debates and debating."
Los indocumentados y los energeticos : su repercusión en las economías mexicana y norteamericana.,"foreign workers, mexican--united states.|united states--emigration and immigration.|mexico--politics and government--1970-1988.|mexico--economic conditions--1970-1982.|illegal aliens--united states.|energy policy--social aspects--mexico."
"Immigration law and human rights in the Baltic States [electronic resource] : comparative study on expulsion and administrative detention of irregular migrants / Joanna Apap, IOM consultant.",baltic states--emigration and immigration--government policy.|illegal aliens--baltic states.|human rights--baltic states.
Children and borders : the impact of current immigration law and policy on dependent and delinquent minors / sponsored by Juvenile Law Section.,"children of immigrants--legal status, laws, etc.--arizona.|children of immigrants--legal status, laws, etc.--united states.|illegal aliens--arizona.|illegal aliens--united states.|emigration and immigration law--arizona.|emigration and immigration law--united states."
"Immigration and illegal aliens : burden or blessing? / [editors, Donna R. Plesser, Mark A. Siegel, Carol D. Foster].",illegal aliens--united states.|illegal aliens--united states--statistics.|united states--emigration and immigration.|united states--statistics.
"Access to healthcare for ""undocumented citizens"" in the Rio Grande Valley / a thesis by Milena. A. Melo.",illegal aliens--health and hygiene--texas--lower rio grande valley.|anthropology.
"[Statements of Doris M. Meissner, acting commissioner Immigration and Naturalization Service concerning illegal aliens] / Doris M. Meissner.",illegal aliens--united states.|united states--emigration and immigration--government policy.
Border rhetorics [electronic resource] : citizenship and identity on the US-Mexico frontier / edited by D. Robert DeChaine.,border security--united states.|illegal aliens--united states.|rhetoric--political aspects--united states.|citizenship--political aspects--united states.|mexican-american border region--emigration and immigration--social aspects.|mexican-american border region--emigration and immigration--political aspects.
The impact of Mexican immigrants on the political behavior of chicanos [electronic resource] : a clarification of issues and some hypotheses for future research / Rodolfo O. de la Garza and Adela Flores.,mexican americans--attitudes.|mexican americans--politics and government.|illegal aliens--united states.|mexico--emigration and immigration.|united states--emigration and immigration.
Human smuggling : Chinese migrant trafficking and the challenge to America's immigration tradition / edited by Paul J. Smith.,chinese--united states.|illegal aliens--united states.|smuggling--united states.|united states--emigration and immigration.|china--emigration and immigration.|china--emigration and immigration|chinese--united states|illegal aliens--united states|smuggling--united states|united states--emigration and immigration
Post-bracero undocumented Mexican immigration to the United States and political recomposition [microform] / by Estevan Tim Flores.,mexicans--united states.|illegal aliens--united states.|united states--emigration and immigration.|mexico--emigration and immigration.
Alien or American? [microform] : immigration laws and Amerasian people / J.M. Charbonneau.,illegal aliens--united states.|asian americans.|emigration and immigration law--united states.
"The impact of illegal immigration on the criminal justice system [electronic resource] / Susan Pennell, Christine Curtis, Jeff Tayman.","criminal justice, administration of--california--san diego.|criminal justice, administration of--texas--el paso.|illegal aliens--california--san diego.|illegal aliens--texas--el paso."
"Illegal alien felons [electronic resource] : a federal responsibility : hearing before the Subcommittee on Federal Spending, Budget, and Accounting of the Committee on Governmental Affairs, United States Senate, One Hundredth Congress, first session, March 12, 1987.",illegal aliens--united states.|deportation--united states.|criminal law--united states.
"Trauma care reimbursement : poor understanding of losses and coverage for undocumented aliens : report to the Honorable Bill Lowery, House of Representatives / United States General Accounting Office.",trauma centers--southwestern states.|illegal aliens--health and hygiene--southwestern states.|medicaid--law and legislation.|medically uninsured persons--southwestern states.
Impossible subjects : illegal aliens and the making of modern America / Mae M. Ngai.,illegal aliens--united states--history.|emigration and immigration law--united states--history.|citizenship--united states--history.
America libre [electronic resource] / Raul Ramos y Sanchez.,united states--emigration and immigration--fiction.|united states--ethnic relations--fiction.|illegal aliens--united states--social conditions--fiction.|hispanic americans--crimes against--fiction.|insurgency--united states--fiction.|political violence--united states--fiction.|social change--mexican-american border region--fiction.|suspense fiction.
Americans no more / Georgie Anne Geyer.,immigrants--united states.|illegal aliens--united states.|americanization.|citizenship--united states.
"Immigration Reform and Control Act of 1982 [electronic resource] : Mr. Rodino, from the Committee on the Judiciary, submitted the following report together with additional and dissenting views (to accompany H.R. 6514) (including cost estimate of the Congressional Budget Office).","emigration and immigration law--united states.|refugees--legal status, laws, etc.--united states.|united states.--immigration reform and control act of 1986.|illegal aliens--united states."
"The least of these [videorecording] / Glass House Productions and La Sonrisa Productions present ; directors, Clark Lyda and Jesse Lyda ; producers, Marcy Garriott, Clark Lyda and Jesse Lyda.",t. don hutto residential center.|alien detention centers--texas--taylor.|illegal alien children--government policy--united states.|illegal aliens--government policy--united states.|immigrant children--government policy--united states.|immigrant families--government policy--united states.|united states--emigration and immigration--government policy.
"Illegal : die Geschichte einer Frau, die es offiziell nicht geben darf / Maria Moreno ; mit Steffen Bayer.","moreno, maria.|women illegal aliens--germany--biography."
North American borders : why they matter / by Glynn Custred.,united states--relations--mexico.|mexico--relations--united states.|united states--relations--canada.|canada--relations--united states.|united states--boundaries.|illegal aliens--united states.|mexican-american border region.
880-02 Gaikokujin shimin to seiji sanka / Miyajima Takashi hen.,aliens--suffrage--japan--congresses.|aliens--japan--congresses.|local government--japan--citizen participation--congresses.
"Des hommes vivent ici / textes et photographies, Marion Osmont ; postface, Thierry Brigaud et Geneviève Garrigos.",refugees--france--calais--social conditions--pictorial works.|illegal aliens--france--calais--social conditions--pictorial works.
REGINE - regularisations in Europe [electronic resource] / edited by Martin Baldwin-Edwards and Albert Kraler.,illegal aliens--europe.|europe--emigration and immigration.
[House of Representatives] [microform].,united states.--select commission on immigration and refugee policy--records and correspondence.|united states.--congress.--house--records and correspondence.|emigration and immigration law--united states.|united states--emigration and immigration.|illegal aliens--united states.
Sending them home : refugees and the new politics of indifference / Robert Manne with David Corlett.,refugees--government policy--australia.|illegal aliens--government policy--australia.|australia--politics and government--2001-|australia--politics and government--1945-
A national ID system [electronic resource] : big brother's solution to illegal immigration / by John J. Miller and Stephen Moore.,"identification cards--united states.|privacy, right of--united states.|illegal aliens--united states."
"Perceptions and evidence about undocumented immigration to the United States [electronic resource] / by Frank D. Bean, Edward E. Telles, and B. Lindsay Lowell.",illegal aliens--united states.|united states--emigration and immigration--economic aspects.|mexico--emigration and immigration.|united states--emigration and immigration--government policy.
Trafficking in women for sexual exploitation / Lara Fergus.,prostitution--australia.|women--crimes against--australia.|illegal aliens--australia.
The new federal immigration law.,illegal aliens--united states.|foreign workers--united states.|emigration and immigration law--united states.
"La Migra (INS) raid report : a socio-economic impact study, Lane County, Oregon, December 1998 / compiled by Migra Raid Task Force.",illegal aliens--abuse of--oregon--lane county.|mexicans--civil rights--oregon--lane county.|united states.--immigration and naturalization service.|immigrants--crimes against--oregon--lane county.|lane county (or.)--emigration and immigration--economic aspects.|mexico--emigration and immigration.
"Globalización, estado y ciudadanía : un análisis socio-jurídico del movimiento sinpapeles / Iker Barbero.",emigration and immigration law.|illegal aliens.|emigration and immigration--social aspects.|emigration and immigration law--spain.
"Frente al mar [videorecording] / Sociedad Kino Visión presenta una producción Olmo Films, Amboto Audiovisual ; guión, Chus Gutiérrez con la participación de Icíar Bollaín ; producida por Ana Huete, Iñaki Núñez ; dirigida por Chus Gutiérrez.",migrant labor--spain--drama.|illegal aliens--spain--drama.|racism--spain--drama.|man-woman relationships--spain--drama.
"The shadow economy : theoretical approaches, empirical studies, and political implications / Friedrich Schneider, Dominik H. Enste",informal sector (economics)|business enterprises--corrupt practices.|commercial crimes.|tax evasion.|illegal aliens.|welfare fraud.|fraud.
"Global trends in trafficking and the ""Trafficking in persons report"" [microform] : hearing before the Subcommittee on International Terrorism, Nonproliferation, and Human Rights of the Committee on International Relations, House of Representatives, One Hundred Eighth Congress, first session, June 25, 2003.",human rights--international cooperation.|illegal aliens--united states.|forced labor--prevention--international cooperation.|women--crimes against--united states--prevention.|aids (disease)--prevention--international cooperation.
"Comprehensive immigration reform : hearing before the Committee on the Judiciary, United States Senate, One Hundred Thirteenth Congress, first session, February 13, 2013.","emigration and immigration law--united states.|illegal aliens--united states.|children of illegal aliens--legal status, laws, etc.--united states.|citizenship--united states.|immigrant families--government policy--united states.|children of immigrants--government policy--united states.|visas--government policy--united states.|united states--emigration and immigration--economic aspects."
They never come back : a story of undocumented workers from Mexico,"foreign workers, mexican--united states--social conditions.|foreign workers, mexican--united states--economic conditions.|illegal aliens--united states--social conditions.|illegal aliens--united states--economic conditions."
Unwelcome guests : Greek police abuses of migrants in Athens / Eva Cossé.,illegal aliens--abuse of--greece--athens.
"U.S. Southern Border Security Analysis, Recommendations, and Collaborative Mechanisms / Jennifer R. Snider, editor.",border security--united states.|illegal aliens--united states.|national security--united states.|united states--emigration and immigration.
"Current law enforcement problems on U.S. land borders [electronic resource] : hearing before the Subcommittee on Crime of the Committee on the Judiciary, House of Representatives, Ninety-ninth Congress, second session ... May 22, 1986.",drug control--united states.|illegal aliens--united states.|drug control--mexico.|united states--armed forces--civic action.
"Alambrista! [videorecording] = The illegal / Image Entertainment ; written by Robert M. Young ; produced by Michael Hausman, Irwin Young ; directed by Robert M. Young.",illegal aliens--united states--drama.|migrant agricultural laborers--united states.|united states--emigration and immigration--drama.|mexico--emigration and immigration--drama.
Al otro lado [videorecording] = To the other side / Altamura Films ; directed and produced by Natalia Almada ; produced by Tommaso Fiacchino and Kent Rogowski.,corridos.|popular culture--mexico.|drug traffic--mexico.|drug traffic--mexico--folklore.|drug traffic--mexico--songs and music.|mexicans--united states.|illegal aliens--united states.|mexico--economic conditions.|mexico--social life and customs.|sinaloa (mexico : state)
A historical analysis of landmark developments in educational rights of undocumented children / by Celia Hernandez.,education--united states--history.|immigrant children--civil rights--united states--history.|illegal aliens--civil rights--united states--history.
The 287(g) Program [electronic resource] : protecting home towns and homeland / by Jessica M. Vaughan and James R. Edwards Jr.,u.s. immigration and customs enforcement--rules and practice.|illegal aliens--government policy--united states.|alien criminals--government policy--united states.|immigration enforcement--united states.|intergovernmental cooperation--united states--states.|federal aid to law enforcement agencies--united states.
Politique et émigration irrégulière en Afrique : enjeux d'une débrouille par temps de crise / Ange Bergson Lendja Ngnemzué ; préface [d']Aïssa Kadri.,africa--emigration and immigration.|africa--emigration and immigration--economic aspects.|europe--emigration and immigration.|illegal aliens--europe.|africans--europe.
Illegal aliens [microform] : existing legislation and legislative action in the 92nd and 93rd Congresses / by Joyce Vialet.,illegal aliens--united states.|emigration and immigration law--united states.|united states--emigration and immigration.
"Border wars. Season 3, disc 1 : as seen on National Geographic Channel / National Geographic.",u.s. customs and border protection.|border patrol agents--mexican-american border region.|border security--mexican-american border region.|illegal aliens--united states.|drug traffic--united states.
Snakehead / Peter May.,"women pathologists--fiction.|chinese fiction--texas.|illegal aliens--fiction.|campbell, margaret (fictitious character)--fiction.|li, yan (fictitious character)--fiction."
Snakehead [electronic resource] / Peter May.,"women pathologists--fiction.|chinese fiction--texas.|illegal aliens--fiction.|campbell, margaret (fictitious character)--fiction.|li, yan (fictitious character)--fiction."
"Is the federal government doing all it can to stem the flow of illegal immigration? [electronic resource] : hearing before the Subcommittee on Regulatory Affairs of the Committee on Government Reform, House of Representatives, One Hundred Ninth Congress, second session, July 25, 2006.",illegal aliens--government policy--united states.|foreign worker certification--united states.|united states--emigration and immigration--government policy.
Bo and the night intruder / by Lynn Sheffield Simmons ; illustrated by Lin Hampton.,dogs--juvenile fiction.|children's stories.
Immigration detention : the migration of a policy and its human impact / edited by Amy Nethery and Stephanie J. Silverman.,illegal aliens--government policy--united states.|united states--emigration and immigration--government policy.|detention of persons--united states.|electronic books.
Delfino's journey / Jo Harper.,illegal aliens--fiction.|mexicans--united states--fiction.|aztecs--fiction.|indians of mexico--fiction.|cousins--fiction.|texas--fiction.
The first victim [sound recording] / Ridley Pearson.,"boldt, lou (fictitious character)--fiction.|matthews, daphne (fictitious character)--fiction.|women television journalists--washington (state)--seattle--fiction.|illegal aliens--washington (state)--seattle--fiction.|seattle (wash.)--fiction.|audiobooks."
"Rossii͡a i ATR : problemy bezopasnosti, migrat͡sii i prestupnosti : materialy mezhdunaronoĭ nauchno-prakticheskoĭ konferent͡sii (g. Vladivostok, 3 ii͡uli͡a 2006 g.) / [otv. za vyp. A.N. Sukharenko].",transnational crime--congresses.|organized crime--congresses.|organized crime--russia (federation)--congresses.|terrorism.|illegal aliens.
"Options for estimating illegal entries at the U.S.- Mexico border / Alicia Carriquiry and Malay Majmundar, Editors.",illegal aliens--united states--statistical methods.|illegal aliens--mexican-american border region.
Geolocation : a pathway to identification for deceased undocumented border crossers / by Chelsey Juarez.,dead--identification.|illegal aliens--death.
Ḥavvā kī beṭī biktī hai [electronic resource] / Qurbān Anjum.,women--crimes against--pakistan.|prostitution--pakistan.|illegal aliens--pakistan.
La condition juridique de l'étranger hier et aujourd'hui : actes du Colloque organisé à Nimègue les 9-11 mai 1988 / par les Facultés de Droit de Poitiers et de Nimègue.,aliens--france--congresses.|aliens--netherlands--congresses.|illegal aliens--congresses.
Everyday illegal : when policies undermine immigrant families / Joanna Dreby.,illegal aliens--united states--case studies.|immigrants--family relationships--united states--case studies.|children of immigrants--united states--case studies.|united states--emigration and immigration--social aspects.
Betrayed : a Rosato &amp; Associates novel / Lisa Scottoline.,rosato &amp; associates (imaginary organization)--fiction.|murder--investigation--fiction.|family secrets--fiction.|illegal aliens--fiction.|women lawyers--fiction.|philadelphia (pa.)--fiction.|large type books.|legal stories.
"[Statements of Doris M. Meissner, acting commissioner Immigration and Naturalization Service concerning illegal aliens] / Doris M. Meissner.",illegal aliens--united states.|united states--emigration and immigration--government policy.
880-02 Bizar / Andreĭ Ivanov.,russians--denmark--fiction.|illegal aliens--denmark--fiction.
"Securing the borders and America's points of entry [electronic resource] : what remains to be done? : hearing before the Subcommittee on Immigration, Refugees and Border Security of the Committee on the Judiciary, United States Senate, One Hundred Eleventh Congress, first session, May 20, 2009.",border security--united states--evaluation.|ports of entry--security measures--united states--evaluation.|illegal aliens--government policy--united states.|terrorism--united states--prevention.
Bender's immigration case reporter.,emigration and immigration law--united states.|illegal aliens--united states.|deportation--united states.
La travesía de Enrique [sound recording] / Sonia Nazario.,hondurans--united states--biography.|immigrant children--united states--biography.|illegal aliens--united states--biography.|hondurans--united states--social conditions--case studies.|immigrant children--united states--social conditions--case studies.|illegal aliens--united states--social conditions--case studies.|honduras--emigration and immigration--case studies.|united states--emigration and immigration--case studies.
"Labor-market discrimination, undocumented-worker effects, and the earnings of Mexican American men [electronic resource] / by Alberto Davila and Alok K. Bohara.",mexican americans--employment.|wages--mexican americans.|discrimination in employment--united states.|illegal aliens--employment--united states.|labor market--united states.
"Joe's law [electronic resource] : America's toughest sheriff takes on illegal immigration, drugs, and everything else that threatens America / Joe Arpaio and Len Sherman.","arpaio, joe,--1932-|sheriffs--arizona--maricopa county--biography.|police--united states--biography.|drug enforcement agents--united states--biography.|corrections--arizona--maricopa county.|prisons--arizona--maricopa county.|law enforcement--arizona--maricopa county.|illegal aliens--united states.|drug abuse--united states."
"Coyote [videorecording] / Maya Entertainment and Side Street present ; produced by Chris Wyatt, Devin Colvin ; written by Brian Peterson &amp; Brett Spackman ; directed by Brian Peterson.",human smuggling--mexican-american border region--drama.|illegal aliens--mexican-american border region--drama.|videodiscs.
Betrayed [electronic resource] : a Rosato &amp; Associates novel / Lisa Scottoline.,rosato &amp; associates (imaginary organization)--fiction.|murder--investigation--fiction.|family secrets--fiction.|illegal aliens--fiction.|women lawyers--fiction.|philadelphia (pa.)--fiction.|downloadable e-books.
The DREAMers [Texte imprimé] : how the undocumented youth movement transformed the immigrant rights debate / Walter J. Nicholls.,immigrant youth--political activity--united states.|illegal aliens--political activity--united states.|immigrant youth--civil rights--united states.|immigrants--civil rights--united states.|youth protest movements--united states.
"[Statements of Doris M. Meissner, acting commissioner Immigration and Naturalization Service concerning illegal aliens] / Doris M. Meissner.",illegal aliens--united states.|united states--emigration and immigration--government policy.
"Alien offenders in the Texas correctional system / [contributors, Pablo Martinez, Eric Benson, Nathan Pino].",prisoners--texas--statistics.|illegal aliens--texas--statistics.|criminal statistics--texas.
L'immigration en France / Guy Le Moigne.,immigrants--france.|illegal aliens--france.|france--emigration and immigration.
The challenges to responding to human smuggling in Canada : practitioners reflect on the 1999 boat arrivals in British Columbia / Alexandra Charlton [and others].,refugees--british columbia.|refugees--china.|human smuggling--british columbia.|human smuggling--china.|illegal aliens--british columbia.
Alien or American? [microform] : immigration laws and Amerasian people / J.M. Charbonneau.,illegal aliens--united states.|asian americans.|emigration and immigration law--united states.
"Border security [microform] : hearing before the Subcommittee on Immigration and Claims of the Committee on the Judiciary, House of Representatives, One Hundred Fourth Congress, first session, March 10, 1995.",united states--emigration and immigration--government policy.|illegal aliens--united states.|border patrols--united states.|deportation--united states.
Mexico's forgotten southern border [electronic resource] : does Mexico practice at home what it preaches abroad? / by George W. Grayson.,"illegal aliens--mexico, southeast.|illegal aliens--government policy--mexico.|immigrants--mexico, southeast.|human rights--mexico, southeast."
"Mobilitas tenaga kerja Indonesia ke Malaysia [electronic resource] : studi kasus Flores Timur, Lombok Tengah, dan Pulau Bawean / Ida Bagoes Mantra, Kasto, Yeremias T. Keban.",nusa tenggara timur (indonesia : province)--economic conditions.|migrant labor--malaysia.|labor mobility--indonesia--nusa tenggara timur.|illegal aliens--malaysia.
Illegal immigration : a reference handbook / Michael C. LeMay.,illegal aliens--united states.|illegal aliens--government policy--united states.|united states--emigration and immigration--government policy.
"Le bateau est plein, je débarque / Koffi Célestin Yao.",africans--france--social conditions.|illegal aliens--france--social conditions.|france--emigration and immigration.|africa--emigration and immigration.|africa--ethnic relations.
Profiling undocumented aliens in the New York metropolitan area : social welfare and labor market implication / by Nicholas A. DiMarzio.,illegal aliens--new jersey.|foreign workers--new jersey.|illegal aliens--united states.|foreign workers--united states.|illegal aliens--new york (state)--new york.
Immigration [electronic resource] / by Andrea C. Nakaya.,emigration and immigration--government policy.|illegal aliens.
Mexico's forgotten southern border : does Mexico practice at home what it preaches abroad? / by George W. Grayson.,"illegal aliens--mexico, southeast.|illegal aliens--government policy--mexico.|immigrants--mexico, southeast.|human rights--mexico, southeast."
Crossing over : a Mexican family on the migrant trail / Rubén Martínez.,mexican american families--social conditions.|mexican americans--biography.|immigrants--united states--social conditions.|immigrants--united states--biography.|illegal aliens--united states--social conditions.|illegal aliens--united states--biography.|migrant labor--united states.|chavez family.|cherán (mexico)--biography.
The weight of numbers / Simon Ings.,illegal aliens--death--fiction.|human smuggling--fiction.|mystery fiction.
The universe of the illegal alien [electronic resource] / by Victor Davis Hanson.,"mexicans--united states--psychology.|foreign workers, mexican--united states--psychology.|illegal aliens--united states--psychology."
Selectivity of undocumented Mexico-U.S. migrants and implications for U.S. immigration reform / by J. Edward Taylor.,"illegal aliens--united states.|mexico--emigration and immigration--decision making.|united states--emigration and immigration--decision making.|united states--emigration and immigration--government policy.|migration, internal--mexico--decision making.|mexico--rural conditions."
Opinion of the Committee of the Regions of 20 November 2002 on the green paper on a Community return policy on illegal residents.,illegal aliens--european union countries.
Employer sanctions should be repealed / Raul Yzaguirre.,"illegal aliens--employment--united states.|sanctions, administrative--united states.|discrimination in employment--united states.|foreign workers--united states."
La migración indocumentada de México a los Estados Unidos : un nuevo enfoque / Juan Díez-Canedo Ruiz.,"illegal aliens--united states.|mexico--emigration and immigration.|united states--emigration and immigration.|foreign workers, mexican--united states.|mexicans--united states."
"United States Department of Homeland Security : hearing before the Committee on the Judiciary, House of Representatives, One Hundred Thirteenth Congress, second session, May 29, 2014.",united states.--department of homeland security--rules and practice.|illegal aliens--government policy--united states.|illegal aliens--mexican-american border region.|alien criminals--mexican-american border region.|deportation--government policy--united states.|united states--emigration and immigration--corrupt practices.|national security--united states.
L'aventure : les migrants africains sur la route de l'Europe / Grégory Lassalle ; préface de Migreurop.,ivoirians--europe--biography.|ivoirians--europe--social conditions.|illegal aliens--europe--biography.|illegal aliens--europe--social conditions.|côte d'ivoire--emigration and immigration.|europe--emigration and immigration.
"The visitor [videorecording] / Groundswell Productions ; Next Wednesday Productions ; Participant Productions ; produced by Michael London, Mary Jane Skalski, Jeff Skoll ; written by Thomas McCarthy ; directed by Thomas McCarthy.",college teachers--new york (state)--new york--drama.|widowers--new york (state)--new york--drama.|illegal aliens--new york (state)--new york--drama.|new york (n.y.)--drama.
"Immigration-related statistics, 1995.",united states--emigration and immigration--statistics.
"Side-by-side comparison of ""Immigration Reform and Control Act of 1983"" S. 529, as passed and House amendment thereto (H.R. 1510, as passed).",united states.--immigration reform and control act of 1983.|emigration and immigration law--united states.|illegal aliens--united states.
The tortilla curtain : book discussion kit / T. Coraghessan Boyle.,married people--california--los angeles--fiction.|illegal aliens--california--los angeles--fiction.|mexicans--california--los angeles--fiction.|los angeles (calif.)--ethnic relations--fiction.|domestic fiction.
La inmigración irregular en Tenerife [electronic resource] : informes temáticos / Observatorio de la Inmigración de Tenerife.,illegal aliens--canary islands.|canary islands--emigration and immigration.
"Immigration and Naturalization Service's (INS) interior enforcement strategy : hearing before the Subcommittee on Immigration, Border Security, and Claims of the Committee on the Judiciary, House of Representatives, One Hundred Seventh Congress, second session, June 19, 2002.",united states.--immigration and naturalization service.|immigration enforcement--united states.|illegal aliens--government policy--united states.|alien criminals--government policy--united states.|deportation--united states.
The Immigration Reform and Control Act : assessing the evaluation process : a report / of the United States Commissionton Civil Rights.,emigration and immigration law--united states.|illegal aliens--united states.
"Migración desde la Mixteca una comunidad transnacional en Oaxaca y California Wayne A. Cornelius... [et al.], coordinadores ; traducción, Jorge Hernández-Hernández.",san miguel tlacotepec (mexico)--emigration and immigration.|mexicans--california--san diego county.|illegal aliens--california--san diego county.|san diego county (calif.)--emigration and immigration.|transnationalism.|united states--emigration and immigration.|mexico--emigration and immigration.
"Illegal immigration : opposing viewpoints / Charles P. Cozic, book editor.",illegal aliens.|emigration and immigration law.
"Year book on illegal migration, human smuggling and trafficking in Central and Eastern Europe [electronic resource] / International Centre for Migration Policy Development.","europe, central--emigration and immigration--periodicals.|europe, eastern--emigration and immigration--periodicals.|europe, central--emigration and immigration--statistics--periodicals.|europe, eastern--emigration and immigration--statistics--periodicals.|illegal aliens--europe, central--periodicals.|illegal aliens--europe, eastern--periodicals."
"Reforming the immigration system [microform] : proposals to promote independence, fairness, efficiency, and professionalism in the adjudication of removal cases : executive summary / prepared by Arnold &amp; Porter LLP for the American Bar Association Commission on Immigration.",united states.--board of immigration appeals.|united states.--department of homeland security.|deportation--united states.|emigration and immigration law--united states.|illegal aliens--government policy--united states.|legal assistance to immigrants--united states.|united states--emigration and immigration--government policy.
"Los inmigrantes irregulares en España [electronic resource] : la vida por un sueño / José Ignacio Ruiz Olabuénaga, Eduardo Javier Ruiz Vieytez, Trinidad Lourdes Vicente Torrado.",illegal aliens--spain--social conditions.
Number of undocumented aliens residing in the United States unknown : report to the Congress / by the Comptroller General of the United States.,illegal aliens--united states.
The universe of the illegal alien / by Victor Davis Hanson.,"mexicans--united states--psychology.|foreign workers, mexican--united states--psychology.|illegal aliens--united states--psychology."
Diario de un emigrante clandestino / José Ana San Blas Lorenzo ; investigación Ricardo García Luis.,"san blas lorenzo, josé ana,--1903-1957.|canary islands--biography.|delfina noya (ship)|canary islands--emigration and immigration.|venezuela--emigration and immigration.|illegal aliens--venezuela."
"Crossing over [videorecording] / Weinstein Company presents a Kennedy/Marshall Company and a Movie Prose production ; produced by Frank Marshall, Wayne Kramer ; screenplay by Wayne Kramer ; director, Wayne Kramer.",illegal aliens--california--los angeles--drama.|u.s. border patrol--drama.|border patrols--california--los angeles--drama.
Ethnologie de la Forme-camp de Sangatte [electronic resource] : de l'exception à la régulation / Henri Courau.,france--emigration and immigration--government policy.|alien detention centers--france.|illegal aliens--france.
Immigration and illegal aliens : burden or blessing?,illegal aliens--united states--statistics.|united states--statistics.|united states--emigration and immigration--statistics.
"Jong en illegaal in Nederland : een beschrijvende studie naar de komst en het verblijf van onrechtmatig verblijvende (voormalige) alleenstaande minderjarige vreemdelingen en hun visie op de toekomst / Richard Staring, José Aarts.",illegal aliens--netherlands--social conditions.|youth--netherlands--social conditions.
Alien or American? [microform] : immigration laws and Amerasian people / J.M. Charbonneau.,illegal aliens--united states.|asian americans.|emigration and immigration law--united states.
